Movie Name,Genres
Broken Heart,"Drama, History, Comedy"
Fading Nights,"Romance, Biography, Action"
Beyond the Shattered Frontier,"Sport, Sci-Fi, Action, Horror"
The Last Heart,"Drama, Comedy, Family, Documentary"
Savage Rise Rising,"War, History, Drama, Family, Comedy"
Beyond the Endless Sky,"Comedy, Adventure, Romance"
Return of the Hidden Star,"War, Animation, Horror, Sport"
Rising Heart Rising,"Horror, History, Romance, Documentary, War"
The Last Sky,"Crime, Adventure, Romance, Sport, Documentary"
The Last Empire,"Crime, Mystery, Western, Family, War"
The Warrior of Secret Echo,"Sci-Fi, Sport, Musical, Family, Animation"
Whisper: A New Beginning,"Drama, Fantasy, Horror"
The Last Prophecy,"Biography, Sci-Fi, History, Action"
Bright Heart,"Musical, Horror, War, Action"
Return of the Roaring Mountain,"Thriller, Biography, Mystery, Fantasy, Animation"
The Path of Silent Rise,"Western, Action, Drama, Animation"
Return of the Secret Journey,"Comedy, Western, Documentary"
Beyond the Crimson Warrior,"Sci-Fi, Biography, Musical"
Fire: A New Beginning,"Animation, War, Biography, Sport, Drama"
Empire: A New Beginning,"History, Romance, Sport, Action, Comedy"
The Forgotten Empire,"Biography, Romance, Sci-Fi"
Frontier and the Rising Circle,"Western, Romance, Documentary, Musical, Mystery"
Final Reckoning,"War, Adventure, Drama, Sport"
The Last Storm,"History, War, Fantasy"
Restless Echo,"History, Action, Comedy, Romance, Horror"
The Last Odyssey,"Horror, Family, Action"
The Last Vengeance,"History, Western, Fantasy, Mystery, Thriller"
Throne: A New Beginning,"Crime, Adventure, Sport, Western, Horror"
The Roaring Shadows,"Comedy, Romance, Family, Drama, Sport"
Golden Nights,"Sport, Documentary, Biography, Crime, Sci-Fi"
Night: A New Beginning,"Thriller, War, Crime"
Silent Vengeance,"History, Mystery, Biography"
Return of the Crimson Alliance,"Thriller, Horror, War, Documentary"
Shadow Nights,"Drama, Fantasy, Sci-Fi, Documentary, Biography"
Beyond the Frozen Heart,"Crime, Mystery, Sci-Fi"
Beyond the Quiet Road,"Musical, Sci-Fi, Adventure, Action, Crime"
The Ocean of Restless Echo,"Musical, History, Action, Drama, Comedy"
The Kingdom of Silver Throne,"Fantasy, Musical, Documentary, Adventure, Thriller"
Golden Alliance Rising,"Drama, Animation, History, Musical, Fantasy"
Mountain: A New Beginning,"Crime, Musical, Romance"
Return of the Burning Storm,"Romance, Mystery, War, Animation"
Return of the Forgotten Star,"Crime, Sci-Fi, Comedy, Sport"
Roaring Guardian Rising,"Drama, Sci-Fi, Horror"
Wild Nights,"Animation, Crime, Musical, Biography"
Midnight Circle,"Musical, Action, Biography"
Beyond the Shattered Legend,"Crime, Documentary, Drama, Thriller, Biography"
The Last Guardian,"Mystery, Musical, Family"
The Secret of Scarlet Echo,"Thriller, Documentary, Mystery"
The Last Rise,"War, Mystery, Biography, Western"
The Chase of Roaring Sky,"Crime, Comedy, Romance, Thriller, History"
Legacy: A New Beginning,"Documentary, Comedy, War, Musical"
Shattered Nights,"Fantasy, Action, Drama"
The Last Mountain,"History, Romance, Drama"
Vengeance and the Crimson Echo,"Crime, War, Biography, Musical, Sport"
The Awakening of Wild Night,"Sci-Fi, Biography, Western, Romance, Documentary"
Chase and the Dark Heart,"Crime, History, Comedy, Fantasy"
The Prophecy of Frozen River,"Musical, Documentary, Crime"
Beyond the Bold Escape,"Family, Sport, Action, Documentary"
Alliance and the Silent Prophecy,"History, Documentary, Romance, Western"
Reckoning: A New Beginning,"Crime, Family, Horror, War"
The Legacy of Scarlet Throne,"Action, Comedy, Musical, Fantasy, War"
The Road of Midnight Voyage,"War, Crime, Sport"
The Last Escape,"Action, History, Adventure, Animation"
Kingdom: A New Beginning,"Action, Fantasy, Romance"
The Dream of Iron River,"Sci-Fi, Animation, Horror, Drama"
The Storm of Velvet Legacy,"Sport, Family, Documentary, Mystery"
Velvet Sky,"Thriller, Drama, Adventure, Animation, Musical"
Dark Whisper Rising,"Western, Drama, Musical, Animation"
Reckoning and the Frozen Path,"Sci-Fi, History, Western, War, Musical"
Sacred Nights,"War, Romance, Documentary, Family"
Broken Realm Rising,"Mystery, Animation, Sci-Fi, Crime"
Return of the Sacred Echo,"Comedy, Romance, Musical"
